gene_name,SCZ.log2FC,SCZ.fdr
AC010890.1,-0.10718024,0.186536169
AC010894.3,-0.098884809,0.167069695
AC010900.2,-0.060102048,0.399351406
AC010975.1,-0.018295468,0.877812216
AC010975.2,-0.035848315,0.574482643
AC010976.2,-0.082685326,0.235966062
AC010980.2,0.035865774,0.364135987
AC011196.3,-0.033951342,0.697049942
AC011242.6,0.056233629,0.306908185
AC011288.2,0.003319642,0.974214338
AC011290.5,0.006867378,0.920396245
AC011322.1,-0.026790118,0.597997108
AC011330.5,-0.180632691,0.522500839
AC011385.1,-0.036644417,0.624189215
AC011406.2,-0.079489502,0.153860503
AC011516.2,0.111118766,0.262971869
AC011524.1,-0.160081426,0.05726969
AC011526.1,-0.023526678,0.808653235
AC011530.4,-0.009204068,0.943226469
AC011558.5,0.024445928,0.837619274
AC011737.2,0.121054686,0.126105773
AC011738.4,0.045588177,0.52234269
AC011747.7,-0.056513955,0.296689399
AC011755.1,-0.069620342,0.225127233
AC011816.1,0.048041326,0.567132665
AC011897.1,-0.003635245,0.930304473
AC011899.10,-0.114320566,0.046751286
AC011899.9,-0.12534883,0.097723484
AC011933.1,0.02345398,0.948061925
AC011995.1,-0.126880314,0.023386027
AC011995.3,-0.041478425,0.662513839
AC012065.5,-0.083701242,0.348568161
AC012065.7,0.054740409,0.259850787
AC012066.1,-0.044537264,0.534967653
AC012074.1,0.036046885,0.729505236
AC012074.2,0.035617059,0.724222165
AC012146.7,-0.093328456,0.002754937
AC012215.1,0.139309079,0.46818237
AC012307.3,-0.028094009,0.30487366
AC012309.5,0.097961186,0.449596698
AC012317.1,-0.027125751,0.769194475
AC012318.3,-0.073285132,0.311847971
AC012358.4,-0.032106838,0.483635323
AC012358.7,-0.101263394,0.104326062
AC012358.8,0.008244053,0.929559257
AC012360.4,0.001346984,0.990884068
AC012360.6,-0.104092931,0.148889172
AC012363.7,-0.089808558,0.199078351
AC012363.8,0.008719224,0.934920445
AC012379.1,0.032000265,0.910136257
AC012442.5,-0.046650206,0.642462914
AC012442.6,-0.021707925,0.85074038
AC012487.2,0.069995978,0.464673417
AC012506.3,0.038960388,0.731182027
AC012507.3,0.013543602,0.835214792
AC012507.4,0.000501355,0.996701583
