sitelink	item	itemLabel	go	gene_symbol	entrez	ensembl_gene_id
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CSNK2A1	1457	ENSG00000101266
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	BRCA2	675	ENSG00000139618
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDK7	1022	ENSG00000134058
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDK7	1022	ENSG00000277273
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PRKCD	5580	ENSG00000163932
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	RBL1	5933	ENSG00000080839
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	GAK	2580	ENSG00000178950
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PAFAH1B1	5048	ENSG00000007168
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	RHOA	387	ENSG00000067560
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	E2F1	1869	ENSG00000101412
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDK1	983	ENSG00000170312
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MAPK1	5594	ENSG00000100030
https://en.wikipedia.org/wiki/Anaerobic_respiration	http://www.wikidata.org/entity/Q181713	anaerobic respiration	GO:0009061	SDHA	6389	ENSG00000073578
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDCA2	157313	ENSG00000184661
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	DIS3L2	129563	ENSG00000144535
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	ZBTB49	166793	ENSG00000168826
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	POC5	134359	ENSG00000152359
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	KLHDC8B	200942	ENSG00000185909
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	STOX1	219736	ENSG00000165730
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDK5	1020	ENSG00000164885
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	NUPR2	389493	ENSG00000185290
